Timestamp,Run,F1_Macro,F1_Binary,AUC,AUPRC
2026-05-03 08:21:07,318,0.8833,0.8000,0.9600,0.8890
2026-05-03 08:22:06,319,1.0000,1.0000,1.0000,1.0000
2026-05-03 08:23:03,320,0.9417,0.9000,0.9633,0.9313
2026-05-03 08:23:49,321,0.8833,0.8000,0.9483,0.8766
2026-05-03 08:24:44,322,0.8250,0.7000,0.9667,0.8825
2026-05-03 08:25:30,323,0.9417,0.9000,0.9783,0.9435
2026-05-03 08:26:19,324,0.9417,0.9000,0.9900,0.9567
2026-05-03 08:27:06,325,0.8833,0.8000,0.9617,0.9083
2026-05-03 08:28:07,326,0.9417,0.9000,0.9733,0.9385
2026-05-03 08:29:00,327,0.9417,0.9000,0.9967,0.9809
2026-05-03 08:29:49,328,0.8833,0.8000,0.9550,0.8752
2026-05-03 08:30:34,329,0.8250,0.7000,0.9633,0.8561
2026-05-03 08:31:27,330,0.8250,0.7000,0.9450,0.7895
2026-05-03 08:32:22,331,0.9417,0.9000,0.9900,0.9625
2026-05-03 08:33:22,332,0.9417,0.9000,0.9917,0.9667
2026-05-03 08:34:16,333,0.9417,0.9000,0.9733,0.9206
2026-05-03 08:35:09,334,0.8833,0.8000,0.9733,0.9015
2026-05-03 08:36:09,335,0.8833,0.8000,0.9517,0.8582
2026-05-03 08:37:00,336,1.0000,1.0000,1.0000,1.0000
2026-05-03 08:37:54,337,0.9417,0.9000,0.9783,0.9355
2026-05-03 08:38:47,338,0.8833,0.8000,0.9933,0.9652
2026-05-03 08:39:48,339,0.8833,0.8000,0.9417,0.8800
2026-05-03 08:40:36,340,0.8833,0.8000,0.9833,0.9264
2026-05-03 08:41:41,341,0.8833,0.8000,0.9617,0.8929
2026-05-03 08:42:37,342,0.9417,0.9000,0.9983,0.9909
2026-05-03 08:43:14,343,0.8250,0.7000,0.9183,0.7934
2026-05-03 08:44:06,344,0.8250,0.7000,0.9633,0.8466
2026-05-03 08:45:07,345,0.9417,0.9000,0.9950,0.9769
2026-05-03 08:45:52,346,0.9417,0.9000,0.9967,0.9833
2026-05-03 08:46:43,347,0.9417,0.9000,0.9850,0.9456
2026-05-03 08:47:34,348,0.9417,0.9000,0.9783,0.9355
2026-05-03 08:48:22,349,0.8250,0.7000,0.9533,0.8298
2026-05-03 08:49:07,350,0.9417,0.9000,0.9950,0.9769
2026-05-03 08:50:04,351,0.9417,0.9000,0.9967,0.9833
2026-05-03 08:50:52,352,0.8833,0.8000,0.9733,0.9085
2026-05-03 08:51:45,353,0.8833,0.8000,0.9600,0.9073
2026-05-03 08:52:46,354,0.9417,0.9000,0.9883,0.9525
2026-05-03 08:53:43,355,1.0000,1.0000,1.0000,1.0000
2026-05-03 08:54:31,356,0.9417,0.9000,0.9917,0.9667
2026-05-03 08:55:20,357,0.9417,0.9000,0.9783,0.9355
2026-05-03 08:56:13,358,0.9417,0.9000,0.9950,0.9698
2026-05-03 08:56:56,359,0.9417,0.9000,0.9967,0.9833
2026-05-03 08:58:00,360,0.9417,0.9000,0.9933,0.9622
2026-05-03 08:59:00,361,0.8833,0.8000,0.9433,0.8488
2026-05-03 08:59:16,362,0.8833,0.8000,0.9517,0.8978
2026-05-03 08:59:34,363,0.9417,0.9000,0.9950,0.9769
2026-05-03 08:59:53,364,0.9417,0.9000,0.9950,0.9769
2026-05-03 09:00:09,365,0.8833,0.8000,0.9917,0.9587
2026-05-03 09:00:26,366,0.9417,0.9000,0.9850,0.9456
2026-05-03 09:00:46,367,0.9417,0.9000,0.9917,0.9667
2026-05-03 09:01:06,368,0.8250,0.7000,0.9383,0.7945
2026-05-03 09:01:23,369,0.8250,0.7000,0.9183,0.7956
2026-05-03 09:01:42,370,0.9417,0.9000,0.9967,0.9809
2026-05-03 09:02:05,371,0.8250,0.7000,0.8733,0.7389
2026-05-03 09:02:35,372,1.0000,1.0000,1.0000,1.0000
2026-05-03 09:03:21,373,0.9417,0.9000,0.9883,0.9525
2026-05-03 09:04:03,374,0.9417,0.9000,0.9867,0.9556
2026-05-03 09:04:56,375,0.7667,0.6000,0.8883,0.6493
2026-05-03 09:05:53,376,0.7083,0.5000,0.9300,0.6785
2026-05-03 09:06:38,377,0.9417,0.9000,0.9733,0.9385
2026-05-03 09:07:34,378,0.9417,0.9000,0.9750,0.9317
2026-05-03 09:08:20,379,0.9417,0.9000,0.9983,0.9909
2026-05-03 09:09:11,380,0.9417,0.9000,0.9833,0.9426
2026-05-03 09:10:04,381,0.9417,0.9000,0.9967,0.9809
2026-05-03 09:11:01,382,0.8833,0.8000,0.9817,0.9306
2026-05-03 09:11:56,383,0.8833,0.8000,0.9800,0.9233
2026-05-03 09:12:49,384,0.9417,0.9000,0.9683,0.8589
2026-05-03 09:13:39,385,0.9417,0.9000,0.9967,0.9809
2026-05-03 09:14:32,386,1.0000,1.0000,1.0000,1.0000
2026-05-03 09:15:31,387,0.9417,0.9000,0.9750,0.9400
2026-05-03 09:16:26,388,0.9417,0.9000,0.9750,0.9400
2026-05-03 09:17:18,389,0.8833,0.8000,0.9400,0.8111
2026-05-03 09:18:07,390,0.9417,0.9000,0.9950,0.9733
2026-05-03 09:18:58,391,0.8833,0.8000,0.9900,0.9519
2026-05-03 09:19:49,392,0.9417,0.9000,0.9967,0.9833
2026-05-03 09:20:36,393,0.9417,0.9000,0.9967,0.9809
2026-05-03 09:21:40,394,0.8833,0.8000,0.9867,0.9407
2026-05-03 09:22:34,395,0.8833,0.8000,0.9350,0.7898
